Summary,Issue Type,Priority,Component,Description
"Epic: Resolve Sensitive Data Leakage & API Payload Bloat","Epic","High","Security","Audit and secure all backend controllers to ensure they only expose data fields that are strictly necessary for the frontend components. This Epic addresses critical security vulnerabilities (hashed password exposure, system tokens leakage) and performance issues (bloated payloads on card lists and search views)."
"Secure User & Donor Profile Update Responses","Story","High","Profile","As a registered user/donor, I want my password hashes and security tokens to be excluded from API response bodies, so that my credentials and password reset keys cannot be hijacked by malicious third-party scripts.

Context: The backend profile update endpoints currently return the direct database output of prisma.user.update and prisma.donor.upsert. This leaks hashed passwords, password reset tokens, and email verification tokens in the response JSON.

Acceptance Criteria:
1. Given an authenticated user updates their profile description or profile picture
2. When the server returns the updated profile object
3. Then the fields password, resetPasswordToken, resetPasswordExpiry, verificationToken, and verificationTokenExpiry must be absent from the JSON response.

Technical Reference: server/src/api/profile/profile.controller.js"
"Strip Hashed Passwords & System Tokens from Auth Payloads","Story","High","Authentication","As a logging-in user, I want the authentication response payload to contain only my user metadata, so that my active account verification or password reset keys are not exposed to the browser.

Context: The createAndSendToken helper blanks out user.password but fails to clear active security tokens (verificationToken and resetPasswordToken), meaning they are sent in the payload on every successful login.

Acceptance Criteria:
1. Given a user successfully logs in
2. When the server issues the JWT token and user profile object
3. Then the fields verificationToken and resetPasswordToken must be set to undefined before sending the response.

Technical Reference: server/src/api/auth/auth.controller.js"
"Optimize Public Campaign & Opportunity List Payloads","Story","Medium","Campaigns","As a mobile app/website visitor, I want public campaign search pages to load quickly, so that my mobile data is not wasted on loading full descriptions, FAQs, and team lists for cards.

Context: The endpoints GET /api/user-projects/public and GET /api/donor-projects/public lack root-level select statements in their Prisma queries. This causes the backend to send detailed description texts, team members arrays, and FAQs in public list responses, none of which are used by CampaignCard.tsx or BrowseProjects.tsx.

Acceptance Criteria:
1. Given a guest loads the Browse Campaigns or Browse Opportunities page
2. When the network queries the list endpoints
3. Then the response payloads must exclude the description text, teamMembers arrays, and faqs lists, sending only card-relevant columns.

Technical References: server/src/api/user-projects/user-project.controller.js, server/src/api/donor-projects/donor-project.controller.js"
"Securely Implement Student Application Counter on Opportunity Cards","Story","High","Opportunities","As a student seeking sponsorships, I want to see the correct count of applicants on Opportunity cards without my private cover letter being leaked, so that my personal data remains confidential.

Context: The opportunity cards try to display the count of applied students via project.interestedUsers?.length which currently resolves to 0 because the backend does not fetch application counts. To prevent leaking student cover letters and contact info publicly, we need to query only the relation count using Prisma's _count aggregation.

Acceptance Criteria:
1. Given the public opportunities list is requested
2. When the server queries Prisma
3. Then it must include _count: { select: { applications: true } } and return only the count, and the front-end card must render the correct number of applicants.

Technical References: server/src/api/donor-projects/donor-project.controller.js, client/src/components/BrowseProjects.tsx"
"Transition OAuth Login Session Redirects to HttpOnly Cookies","Story","High","Authentication","As a social login user (Google/LinkedIn), I want my authentication session tokens to be stored securely, so that they cannot be harvested from the browser URL search query by third-party tracking scripts.

Context: The Google and LinkedIn OAuth callbacks redirect users back to the frontend with the active authentication token in the query parameters (?token=${token}). These tokens can be easily leaked to external scripts via Referer headers.

Acceptance Criteria:
1. Given a user logs in via Google/LinkedIn
2. When the OAuth callback redirects to the client callback url
3. Then the authentication token must not be appended to the URL query string, and must instead be passed via secure, HttpOnly, SameSite cookies.

Technical Reference: server/src/api/auth/auth.controller.js"
"Redact Sensitive Bank Details in Admin Withdrawal Lists","Story","High","Admin Panel","As a student withdrawing campaign funds, I want my bank account number to be redacted on lists, so that my private financial details are not exposed to unauthorised viewers.

Context: The endpoint GET /api/admin/withdrawals joins the full bankAccount model object. This exposes raw bank account numbers directly in list responses for all withdrawal requests.

Acceptance Criteria:
1. Given an admin views the withdrawal requests table
2. When the backend query is returned
3. Then the raw bank account numbers must be masked (e.g. ******1234), and the full number must only be loaded via specific details lookup when the admin explicitly initiates a transaction approval.

Technical Reference: server/src/api/admin/admin.controller.js"
"Optimize Admin Verification & Referral Tables Payload","Story","Medium","Admin Panel","As a platform administrator, I want verification request lists to load quickly without downloading private contact documents in bulk, so that I can review applications efficiently.

Context: The admin list endpoints for club verifications and referrals fetch and return the complete database documents (including studentPhone, studentEmail, ficEmail, ficPhone, and massive stringified alumni JSON arrays) which are not rendered in list grids.

Acceptance Criteria:
1. Given an administrator loads the Club Verifications or Referrals table page
2. When the client queries the list API
3. Then the response must exclude studentPhone, studentEmail, ficPhone, ficEmail, and alumni arrays, loading them only when the administrator opens a specific request detail modal.

Technical References: server/src/api/club-verification/clubVerification.controller.js, server/src/api/admin-club/adminClubVerification.controller.js, server/src/api/club-referral/clubReferral.controller.js"
"Optimize Club Campaign Retrieval API Payloads","Story","Medium","Clubs","As a club president or site reviewer, I want club campaign dashboard list pages to retrieve only cards-level metadata, so that my browser does not consume bandwidth loading nested FAQs, descriptions, and team structures for card grids.

Context: The club campaign retrieval endpoints for approved, pending, and rejected campaigns, along with public club details campaign queries, lack a select statement. This results in heavy, unneeded columns like description, teamMembers, and faqs being serialized and sent in list responses.

Acceptance Criteria:
1. Given a club president reviews their club campaigns list
2. When the backend fetches campaigns under the club
3. Then the response must exclude heavy fields like description, faqs, and teamMembers.

Technical Reference: server/src/api/clubs/club.controller.js"
"Secure Student Verification Workflow and Fix Status Revocation","Story","High","Student Verification","As a platform administrator, I want student verification requests to remain in PENDING status until I manually approve their documents, so that unverified users cannot bypass the KYC check, and rejected verifications immediately revoke campaign creation permissions.

Context: Inside the verify endpoint, the transaction updates user flags to verified and sets request status to VERIFIED instead of PENDING. Upon rejection, the user's verified status is not revoked.

Acceptance Criteria:
1. Given a student submits verification documents
2. When the server processes verification
3. Then the request status must be PENDING, and studentVerified/canCreateCampaign must remain false.
4. Given an admin rejects verification, the user's studentVerified/canCreateCampaign flags must be set to false.

Technical Reference: server/src/api/studentVerification/studentverfication.controller.js"
